,Date,Visit Number,Product,Visitor_ID,CSource,State,Day,Month,Year,State Code
207,"January 1, 2018",4,Personal,1718384617542747621_3014614116811576707,unknown,indiana ,January,1,2018,51
208,"January 1, 2018",2,Personal,6465803938562483483_1712582969493052254,unknown,kentucky ,January,1,2018,51
209,"January 1, 2018",1,Personal,6315766518136961434_7801434380303437848,unknown,texas ,January,1,2018,51
211,"January 1, 2018",2,Personal,5115024283058431694_8435428753426367942,unknown,hawaii ,January,1,2018,51
212,"January 1, 2018",1,Personal,1228754680_1580197113,unknown,new hampshire ,January,1,2018,51
213,"January 1, 2018",15,Refinance,7244333688766959228_486387908193497636,unknown,texas ,January,1,2018,51
214,"January 1, 2018",2,Personal,3317537701471885520_1522585558862741828,unknown,georgia ,January,1,2018,51
215,"January 1, 2018",1,Refinance,8109767164154599177_4770725001745595669,unknown,texas ,January,1,2018,51
216,"January 1, 2018",1,Purchase,1800267717_2158271554,unknown,california ,January,1,2018,51
217,"January 1, 2018",1,Refinance,5989008511114525477_4938113049823312502,unknown,virginia ,January,1,2018,51
219,"January 1, 2018",26,Personal,8448961805851817534_3605894695283121639,unknown,florida ,January,1,2018,51
221,"January 1, 2018",1,Refinance,1264225130_2158271554,unknown,texas ,January,1,2018,51
222,"January 1, 2018",1,Personal,1166814445370024252_4066183804368716229,unknown,kentucky ,January,1,2018,51
223,"January 1, 2018",1,Refinance,1229840302_2140199949,unknown,texas ,January,1,2018,51
224,"January 1, 2018",5,Refinance,6369789845728530867_4294906701230827736,unknown,new york ,January,1,2018,51
225,"January 1, 2018",19,Personal,6981878023904558186_5934657505684814851,unknown,florida ,January,1,2018,51
226,"January 1, 2018",1,Personal,6315766518136961434_7801434380303437848,unknown,texas ,January,1,2018,51
227,"January 1, 2018",1,Auto,661199425536435528_2341589520058090378,carsoup,illinois ,January,1,2018,51
228,"January 1, 2018",1,Refinance,2934346117_2140199949,unknown,michigan ,January,1,2018,51
229,"January 1, 2018",4,Home Equity,791847474_812092854,unknown,missouri ,January,1,2018,51
231,"January 1, 2018",2,Personal,9212851439110544762_5268157934903191265,unknown,alabama ,January,1,2018,51
232,"January 1, 2018",2,Refinance,1140925502_1969521446,unknown,florida ,January,1,2018,51
233,"January 1, 2018",1,Personal,1664763131_1594079913,unknown,missouri ,January,1,2018,51
234,"January 1, 2018",3,Purchase,8835968664717823837_2665148169549701426,unknown,colorado ,January,1,2018,51
235,"January 1, 2018",4,Personal,8136423630503441901_9146346790887391413,unknown,florida ,January,1,2018,51
236,"January 1, 2018",1,Personal,919590138441116713_8789483838940070059,unknown,california ,January,1,2018,51
237,"January 1, 2018",1,Refinance,8193584153890568679_1502692640004814667,unknown,california ,January,1,2018,51
238,"January 1, 2018",1,Personal,5791344285320432760_6658566165154570759,unknown,texas ,January,1,2018,51
239,"January 1, 2018",1,Personal,6203207023437811571_2038252647246905707,unknown,rhode island ,January,1,2018,51
240,"January 1, 2018",2,Refinance,2935982857_3448141402,unknown,indiana ,January,1,2018,51
241,"January 1, 2018",3,Personal,6957628091797139763_2767090850755854401,unknown,michigan ,January,1,2018,51
242,"January 1, 2018",1,Refinance,3253088043451766009_6917548371636935395,unknown,washington ,January,1,2018,51
243,"January 1, 2018",1,Personal,6162674056917841900_3073502884838541545,unknown,pennsylvania ,January,1,2018,51
244,"January 1, 2018",2,Refinance,1958831962417195886_1655868448095164758,unknown,arizona ,January,1,2018,51
247,"January 1, 2018",1,Refinance,1800252675_1062743221,unknown,illinois ,January,1,2018,51
248,"January 1, 2018",10,Refinance,2732796405_731835275,unknown,oklahoma ,January,1,2018,51
249,"January 1, 2018",2,Refinance,2799214284_1594079913,unknown,california ,January,1,2018,51
252,"January 1, 2018",1,Home Equity,406558662_2140199949,unknown,new york ,January,1,2018,51
253,"January 1, 2018",1,Refinance,846460738_4187655586,unknown,arkansas ,January,1,2018,51
254,"January 1, 2018",1,Personal,5809995016968444342_6415261745456221976,unknown,georgia ,January,1,2018,51
255,"January 1, 2018",2,Home Equity,3265191438486519128_7285682586397684154,unknown,indiana ,January,1,2018,51
256,"January 1, 2018",1,Refinance,1144157349_2140199949,unknown,indiana ,January,1,2018,51
257,"January 1, 2018",7,Business Loans,8960435326362697922_4770724615836132552,unknown,washington ,January,1,2018,51
258,"January 1, 2018",2,Refinance,1141676723_687056645,unknown,oklahoma ,January,1,2018,51
259,"January 1, 2018",1,Personal,1144337694_2613387742,unknown,tennessee ,January,1,2018,51
260,"January 1, 2018",1,Personal,7053798588359899792_8403115936795908152,unknown,pennsylvania ,January,1,2018,51
261,"January 1, 2018",19,Personal,432465408875652850_3874728207162133924,unknown,florida ,January,1,2018,51
262,"January 1, 2018",6,Personal,5796911586138795955_1511008124015413084,unknown,district of columbia ,January,1,2018,51
263,"January 1, 2018",3,Personal,1796829202700686412_2669704126307961452,unknown,oregon ,January,1,2018,51
264,"January 1, 2018",1,Refinance,1239974347_2140199949,unknown,texas ,January,1,2018,51
266,"January 1, 2018",3,Personal,7693364507055027489_2017816908941997759,unknown,georgia ,January,1,2018,51
267,"January 1, 2018",2,Personal,7133846491379093314_9135455817704261679,unknown,virginia ,January,1,2018,51
269,"January 1, 2018",3,Personal,387252750129073109_5505129458257908006,unknown,texas ,January,1,2018,51
270,"January 1, 2018",1,unknown,1422029571792510120_6325019516367252848,27,new mexico ,January,1,2018,51
271,"January 1, 2018",1,unknown,1474062355842618828_2457841265549977498,27,texas ,January,1,2018,51
272,"January 1, 2018",1,unknown,1519731369438292659_7788486140182645491,27,texas ,January,1,2018,51
273,"January 1, 2018",1,unknown,1711993373764944221_3438900243446431278,27,louisiana ,January,1,2018,51
274,"January 1, 2018",1,unknown,2449997946854603939_7400971231564450429,27,colorado ,January,1,2018,51
275,"January 1, 2018",1,unknown,2611393568377671717_556268845430236593,27,florida ,January,1,2018,51
276,"January 1, 2018",1,unknown,2921713224065263893_1722956521616906479,27,arizona ,January,1,2018,51
277,"January 1, 2018",1,unknown,4178804224980155199_3737738609301891606,27,tennessee ,January,1,2018,51
278,"January 1, 2018",1,unknown,4312367479942479167_8886210148246508622,27,illinois ,January,1,2018,51
279,"January 1, 2018",1,unknown,4667018669224382725_7394175473843989754,27,south carolina ,January,1,2018,51
280,"January 1, 2018",1,unknown,5016025218606260505_858820257038583034,27,south carolina ,January,1,2018,51
282,"January 1, 2018",1,unknown,614116731104396985_5408798638069936276,comparecards,nevada ,January,1,2018,51
283,"January 1, 2018",1,unknown,6373148134427814209_6302488890637607198,27,new york ,January,1,2018,51
284,"January 1, 2018",1,unknown,6512604866821335057_8320245792700484258,27,georgia ,January,1,2018,51
285,"January 1, 2018",1,unknown,7261988324824651270_5061066612069930363,27,new jersey ,January,1,2018,51
286,"January 1, 2018",1,unknown,7810069236986978524_6542927275642760851,27,arizona ,January,1,2018,51
287,"January 1, 2018",1,Personal,1082689463035697963_5278953351596302994,27,arizona ,January,1,2018,51
288,"January 1, 2018",1,Personal,1102435528375469239_3624060573909697671,27,new york ,January,1,2018,51
289,"January 1, 2018",1,Personal,1347174045491221498_1752173303678624943,27,indiana ,January,1,2018,51
290,"January 1, 2018",1,Personal,1519731369438292659_7788486140182645491,27,texas ,January,1,2018,51
291,"January 1, 2018",1,Personal,1817590623928254187_420655931605393690,27,california ,January,1,2018,51
292,"January 1, 2018",1,Personal,2065746015724433698_1530971005504976181,27,nevada ,January,1,2018,51
